Ocorrência,Ano,Data do pico da cheia,Volume mm,Metragem,Dias de chuva
1,1911,Outubro,,12.20,
2,1927,Junho,,10.00,
3,1928,Maio,,8.63,
4,1928,Agosto,,8.13,
5,1931,Maio,,10.18,
6,1931,Setembro,,7.54,
7,1933,Setembro,,9.12,
8,1939,Agosto,,8.80,
9,1948,Outubro,,9.00,
10,1950,Outubro,,8.75,
11,1953,Outubro,,8.25,
12,1954,Outubro,,10.70,
13,1955,Maio,,8.30,
14,1957,Julho,,7.37,
15,1957,Agosto,,9.65,
16,1957,Agosto,,10.65,
17,1957,Setembro,,7.20,
18,1961,Setembro,,8.20,
19,1961,Novembro,,9.75,
20,1966,Fevereiro,,10.00,
21,1969,Abril,,7.45,
22,1971,Junho,,7.00,
23,1972,Agosto,,9.15,
24,1973,Julho,,7.15,
25,1973,Agosto,,8.10,
26,1975,Outubro,,7.88,
27,1977,Agosto,,8.85,
28,1980,Dezembro,,7.20,
29,1983,Maio,,7.35,
30,1983,Julho,606.7,13.58,20
31,1983,Setembro,,7.60,
32,1984,Agosto,324.6,12.80,14
33,1992,Maio,295.1,8.52,12
34,1997,Fevereiro,297,8.72,16
35,1997,Outubro,247,7.33,22
36,1998,Abril,198,7.96,10
37,1999,Julho,183,7.00,15
38,2001,Outubro,159.5,9.10,12
39,2002,Novembro,225.3,7.15,14
40,2004,Setembro,110.3,6.89,4
41,2005,Maio,187.5,6.87,9
42,2005,Setembro,234.3,7.64,19
43,2007,Novembro,142.9,6.76,12
44,2009,Setembro,292,8.55,13
45,2010,Abril,254,7.53,7
46,2011,Julho,72.2,6.50,3
47,2011,Agosto,143.4,8.83,5
48,2011,Agosto,344.2,8.76,17
49,2011,Setembro,300.6,12.96,6
50,2013,Setembro,131.1,10.39,4
51,2014,Junho,147.5,7.76,4
52,2014,Junho,152.6,9.42,6
53,2014,Outubro,147.4,8.16,8
54,2015,Setembro,70.4,7.23,2
55,2015,Outubro,44,7.24,2
56,2015,Outubro,41,8.75,2
57,2015,Outubro,109,10.71,2
58,2016,Outubro,131,6.68,4
59,2017,Junho,328.8,10.89,9
60,2018,Maio,114.6,7.55,4
61,2019,Dezembro,85.6,6.89,1
62,2020,Setembro,50.2,6.46,1
63,2022,Maio,165,9.34,2
64,2022,Junho,84.2,6.72,3
65,2022,Outubro,76.8,7.47,3
66,2022,Outubro,27.3,6.42,1
67,2023,Julho,92.2,7.30,3
68,2023,13 de outubro,393.2,11.86,9
69,2023,Outubro,101,7.78,1
70,2023,Novembro,65.2,8.20,2
71,2023,17 de novembro,185,13.04,2
72,2023,Novembro,22.4,6.77,1
73,2023,Novembro,83.2,8.33,2
74,2024,18 de maio,175.4,8.97,3
75,2024,Maio,46.8,7.34,2
76,2024,Julho,70.8,7.39,2
77,2024,12 de julho,51.4,7.49,2
